,Date,Non-farm_Payrolls,Civilian_Unemployment_Rate,Effective_Fed_Funds,CPI_All_Items,10Y_Treasury_Rate,5Y_Treasury_Rate,3_Month_T-Bill_Rate,IPI,House_price_index
0,2020-01-01,152212.0,3.6,1.55,258.82,1.76,1.56,1.52,108.9993,214.658
1,2019-12-01,151998.0,3.5,1.55,258.444,1.86,1.68,1.54,109.5587,213.59099999999998
2,2019-11-01,151814.0,3.5,1.55,257.824,1.81,1.64,1.54,110.026,212.68
3,2019-10-01,151553.0,3.6,1.83,257.229,1.71,1.53,1.65,109.0103,211.761
4,2019-09-01,151368.0,3.5,2.04,256.593,1.7,1.57,1.89,109.4725,210.907
5,2019-08-01,151160.0,3.7,2.13,256.294,1.63,1.49,1.95,109.8543,210.149
6,2019-07-01,150953.0,3.7,2.4,256.087,2.06,1.83,2.1,109.0852,209.42
7,2019-06-01,150759.0,3.7,2.38,255.402,2.07,1.83,2.17,109.2774,209.03799999999998
8,2019-05-01,150577.0,3.6,2.39,255.167,2.4,2.19,2.35,109.2264,208.718
9,2019-04-01,150492.0,3.6,2.42,254.943,2.53,2.33,2.38,108.9888,208.24400000000003
10,2019-03-01,150282.0,3.8,2.41,254.095,2.57,2.37,2.4,109.6811,207.64
11,2019-02-01,150135.0,3.8,2.4,253.181,2.68,2.49,2.39,109.5631,207.077
12,2019-01-01,150134.0,4.0,2.4,252.55,2.71,2.54,2.37,110.1185,206.592
13,2018-12-01,149865.0,3.9,2.27,252.653,2.83,2.68,2.37,110.5516,206.084
14,2018-11-01,149683.0,3.7,2.2,252.662,3.12,2.95,2.33,110.5067,205.674
15,2018-10-01,149549.0,3.8,2.19,252.777,3.15,3.0,2.25,109.9165,205.15
16,2018-09-01,149348.0,3.7,1.95,252.261,3.0,2.89,2.13,109.6749,204.36599999999999
17,2018-08-01,149268.0,3.8,1.91,251.905,2.89,2.77,2.03,109.5246,203.709
18,2018-07-01,149024.0,3.8,1.91,251.482,2.89,2.78,1.96,108.652,202.953
19,2018-06-01,148888.0,4.0,1.82,251.176,2.91,2.78,1.9,108.1707,202.399
20,2018-05-01,148669.0,3.8,1.7,250.64,2.98,2.82,1.86,107.3639,201.727
21,2018-04-01,148391.0,4.0,1.69,249.957,2.87,2.7,1.76,108.2223,201.049
22,2018-03-01,148254.0,4.0,1.51,249.413,2.84,2.63,1.7,107.2519,200.303
23,2018-02-01,148078.0,4.1,1.42,249.475,2.86,2.6,1.57,106.6419,199.417
24,2018-01-01,147672.0,4.1,1.41,248.816,2.58,2.38,1.41,106.2655,198.41400000000002
25,2017-12-01,147551.0,4.1,1.3,247.847,2.4,2.18,1.32,106.536,197.187
26,2017-11-01,147421.0,4.2,1.16,247.333,2.35,2.05,1.23,106.193,195.987
27,2017-10-01,147196.0,4.1,1.15,246.57,2.36,1.98,1.07,105.6287,194.85
28,2017-09-01,146929.0,4.2,1.15,246.445,2.2,1.8,1.03,104.0502,193.782
29,2017-08-01,146911.0,4.4,1.16,245.304,2.21,1.78,1.01,104.0475,192.678
30,2017-07-01,146727.0,4.3,1.15,244.328,2.32,1.87,1.07,104.5427,191.46
31,2017-06-01,146512.0,4.3,1.04,244.179,2.19,1.77,0.98,104.5849,190.571
32,2017-05-01,146296.0,4.4,0.91,243.926,2.3,1.84,0.89,104.4129,189.767
33,2017-04-01,146141.0,4.4,0.9,244.058,2.3,1.82,0.8,104.2721,188.93200000000002
34,2017-03-01,145944.0,4.4,0.79,243.721,2.48,2.01,0.74,103.343,188.192
35,2017-02-01,145815.0,4.6,0.66,244.028,2.42,1.9,0.52,102.6479,187.468
36,2017-01-01,145627.0,4.7,0.65,243.717,2.43,1.92,0.51,103.0366,186.93400000000003
37,2016-12-01,145442.0,4.7,0.54,242.712,2.49,1.96,0.51,102.9281,185.78900000000002
38,2016-11-01,145212.0,4.7,0.41,241.993,2.14,1.6,0.45,102.0507,184.81599999999997
39,2016-10-01,145061.0,4.9,0.4,241.641,1.76,1.27,0.33,102.2485,183.794
40,2016-09-01,144916.0,5.0,0.4,241.068,1.63,1.18,0.29,102.0477,182.847
41,2016-08-01,144647.0,4.9,0.4,240.595,1.56,1.13,0.3,102.0407,181.859
42,2016-07-01,144512.0,4.8,0.39,240.111,1.5,1.07,0.3,102.1325,180.835
43,2016-06-01,144158.0,4.9,0.38,240.144,1.64,1.17,0.27,101.8747,180.09900000000002
44,2016-05-01,143891.0,4.8,0.37,239.44,1.81,1.3,0.27,101.4298,179.486
45,2016-04-01,143849.0,5.0,0.37,238.835,1.81,1.26,0.23,101.5167,178.845
46,2016-03-01,143662.0,5.0,0.36,237.99,1.89,1.38,0.29,101.4155,178.248
47,2016-02-01,143433.0,4.9,0.38,237.514,1.78,1.22,0.31,102.2225,177.727
48,2016-01-01,143170.0,4.9,0.34,237.827,2.09,1.52,0.26,102.9525,177.364
49,2015-12-01,143097.0,5.0,0.24,237.761,2.24,1.7,0.23,102.1014,176.59799999999998
50,2015-11-01,142824.0,5.1,0.12,238.017,2.26,1.67,0.12,102.6866,175.778
51,2015-10-01,142587.0,5.0,0.12,237.733,2.07,1.39,0.02,103.3976,174.815
52,2015-09-01,142281.0,5.0,0.14,237.498,2.17,1.49,0.02,103.7768,173.838
53,2015-08-01,142126.0,5.1,0.14,238.033,2.17,1.54,0.07,104.1621,172.938
54,2015-07-01,142001.0,5.2,0.13,238.034,2.32,1.63,0.03,104.3243,172.12400000000002
55,2015-06-01,141699.0,5.3,0.13,237.657,2.36,1.68,0.02,103.7174,171.47299999999998
56,2015-05-01,141525.0,5.6,0.12,237.001,2.2,1.54,0.02,104.0742,170.923
57,2015-04-01,141194.0,5.4,0.12,236.222,1.94,1.35,0.02,104.5272,170.354
58,2015-03-01,140910.0,5.4,0.11,235.976,2.04,1.52,0.03,105.1464,169.861
59,2015-02-01,140839.0,5.5,0.11,235.342,1.98,1.47,0.02,105.4425,169.187
60,2015-01-01,140568.0,5.7,0.11,234.747,1.88,1.37,0.03,105.9806,168.707
61,2014-12-01,140377.0,5.6,0.12,236.252,2.21,1.64,0.03,106.5085,168.078
62,2014-11-01,140109.0,5.8,0.09,236.983,2.33,1.62,0.02,106.6634,167.34900000000002
63,2014-10-01,139818.0,5.7,0.09,237.43,2.3,1.55,0.02,105.8357,166.65099999999998
64,2014-09-01,139566.0,5.9,0.09,237.477,2.53,1.77,0.02,105.8138,165.912
65,2014-08-01,139257.0,6.1,0.09,237.46,2.42,1.63,0.03,105.4986,165.22
66,2014-07-01,139069.0,6.2,0.09,237.498,2.54,1.7,0.03,105.6157,164.577
67,2014-06-01,138837.0,6.1,0.1,237.231,2.6,1.68,0.04,105.4081,164.065
68,2014-05-01,138511.0,6.3,0.09,236.918,2.56,1.59,0.03,105.0152,163.684
69,2014-04-01,138293.0,6.2,0.09,236.468,2.71,1.7,0.03,104.6371,163.42
70,2014-03-01,137968.0,6.7,0.08,236.028,2.72,1.64,0.05,104.5889,163.11
71,2014-02-01,137714.0,6.7,0.07,235.547,2.71,1.52,0.05,103.5917,162.545
72,2014-01-01,137548.0,6.6,0.07,235.288,2.86,1.65,0.04,102.7216,161.958
73,2013-12-01,137373.0,6.7,0.09,234.719,2.9,1.58,0.07,103.1504,160.993
74,2013-11-01,137304.0,6.9,0.08,234.1,2.72,1.37,0.07,102.8379,160.06799999999998
75,2013-10-01,137040.0,7.2,0.09,233.669,2.62,1.37,0.05,102.5371,159.24200000000002
76,2013-09-01,136815.0,7.2,0.08,233.544,2.81,1.6,0.02,102.717,158.234
77,2013-08-01,136628.0,7.2,0.08,233.456,2.74,1.52,0.04,102.1907,156.97799999999998
78,2013-07-01,136386.0,7.3,0.09,232.9,2.58,1.4,0.04,101.5204,155.613
79,2013-06-01,136274.0,7.5,0.09,232.445,2.3,1.2,0.05,101.9549,154.203
80,2013-05-01,136093.0,7.5,0.11,231.893,1.93,0.84,0.04,101.7476,152.86
81,2013-04-01,135871.0,7.6,0.15,231.797,1.76,0.71,0.06,101.6364,151.523
82,2013-03-01,135680.0,7.5,0.14,232.282,1.96,0.82,0.09,101.8114,149.96
83,2013-02-01,135541.0,7.7,0.15,232.937,1.98,0.85,0.1,101.3995,147.778
84,2013-01-01,135263.0,8.0,0.14,231.679,1.91,0.81,0.07,100.8204,146.838
85,2012-12-01,135072.0,7.9,0.16,231.221,1.72,0.7,0.07,100.9542,145.507
86,2012-11-01,134833.0,7.7,0.16,231.249,1.65,0.67,0.09,100.5991,144.591
87,2012-10-01,134677.0,7.8,0.16,231.638,1.75,0.71,0.1,100.1167,143.60399999999998
88,2012-09-01,134518.0,7.8,0.14,231.015,1.72,0.67,0.11,99.9049,142.908
89,2012-08-01,134331.0,8.1,0.13,229.918,1.68,0.71,0.1,99.856,142.275
90,2012-07-01,134159.0,8.2,0.16,228.59,1.53,0.62,0.1,100.3354,141.664
91,2012-06-01,134007.0,8.2,0.16,228.524,1.62,0.71,0.09,100.0728,141.02700000000002
92,2012-05-01,133934.0,8.2,0.16,228.713,1.8,0.76,0.09,100.0924,140.155
93,2012-04-01,133834.0,8.2,0.14,229.187,2.05,0.89,0.08,99.9006,139.156
94,2012-03-01,133752.0,8.2,0.13,228.807,2.17,1.02,0.08,99.1551,137.906
95,2012-02-01,133512.0,8.3,0.1,228.329,1.97,0.83,0.09,99.6203,136.532
96,2012-01-01,133250.0,8.3,0.08,227.842,1.97,0.84,0.03,99.3925,136.60399999999998
97,2011-12-01,132896.0,8.5,0.07,227.223,1.98,0.89,0.01,98.7876,136.668
98,2011-11-01,132694.0,8.6,0.08,227.169,2.01,0.91,0.01,98.2433,137.14600000000002
99,2011-10-01,132562.0,8.8,0.07,226.75,2.15,1.06,0.02,98.3222,137.946
100,2011-09-01,132358.0,9.0,0.08,226.597,1.98,0.9,0.01,97.6494,138.66299999999998
101,2011-08-01,132125.0,9.0,0.1,226.106,2.3,1.02,0.02,97.6731,139.305
102,2011-07-01,131999.0,9.0,0.07,225.395,3.0,1.54,0.04,97.1292,139.726
103,2011-06-01,131939.0,9.1,0.09,224.806,3.0,1.58,0.04,96.6154,139.856
104,2011-05-01,131703.0,9.0,0.09,224.806,3.17,1.84,0.04,96.3377,139.899
105,2011-04-01,131602.0,9.1,0.1,224.093,3.46,2.17,0.06,96.1187,140.006
106,2011-03-01,131288.0,9.0,0.14,223.046,3.41,2.11,0.1,96.4643,139.982
107,2011-02-01,131053.0,9.0,0.16,221.898,3.58,2.26,0.13,95.5154,140.35399999999998
108,2011-01-01,130841.0,9.1,0.17,221.187,3.39,1.99,0.15,95.9364,141.525
109,2010-12-01,130822.0,9.3,0.18,220.472,3.29,1.93,0.14,96.0599,142.06
110,2010-11-01,130750.0,9.8,0.19,219.59,2.76,1.35,0.14,95.1383,142.17
111,2010-10-01,130625.0,9.4,0.19,219.035,2.54,1.18,0.13,95.1109,142.526
112,2010-09-01,130357.0,9.5,0.19,218.275,2.65,1.41,0.15,95.3637,143.013
113,2010-08-01,130422.0,9.5,0.19,217.923,2.7,1.47,0.16,95.1448,143.91
114,2010-07-01,130427.0,9.4,0.18,217.605,3.01,1.76,0.16,94.8536,144.987
115,2010-06-01,130511.0,9.4,0.18,217.199,3.2,2.0,0.12,94.4397,145.718
116,2010-05-01,130650.0,9.6,0.2,217.29,3.42,2.18,0.16,94.2997,146.392
117,2010-04-01,130110.0,9.9,0.2,217.403,3.85,2.58,0.16,92.9436,146.401
118,2010-03-01,129879.0,9.9,0.16,217.353,3.73,2.43,0.15,92.5993,145.857
119,2010-02-01,129698.0,9.8,0.13,217.281,3.69,2.36,0.11,91.994,145.631
120,2010-01-01,129790.0,9.8,0.11,217.488,3.73,2.48,0.06,91.6642,147.395
121,2009-12-01,129788.0,9.9,0.12,217.347,3.59,2.34,0.05,90.6132,147.935
122,2009-11-01,130057.0,9.9,0.12,217.234,3.4,2.23,0.05,90.3375,148.14
123,2009-10-01,130045.0,10.0,0.12,216.509,3.39,2.33,0.07,89.9797,147.85299999999998
124,2009-09-01,130244.0,9.8,0.15,215.861,3.4,2.37,0.12,89.6926,148.025
125,2009-08-01,130485.0,9.6,0.16,215.445,3.59,2.57,0.17,89.019,148.27700000000002
126,2009-07-01,130668.0,9.5,0.16,214.726,3.56,2.46,0.18,88.0323,148.412
127,2009-06-01,131008.0,9.5,0.21,214.79,3.72,2.71,0.18,87.0742,148.094
128,2009-05-01,131475.0,9.4,0.18,213.022,3.29,2.13,0.18,87.4155,147.701
129,2009-04-01,131817.0,9.0,0.15,212.709,2.93,1.86,0.16,88.3056,147.95600000000002
130,2009-03-01,132512.0,8.7,0.18,212.495,2.82,1.82,0.21,89.016,148.666
131,2009-02-01,133312.0,8.3,0.22,212.705,2.87,1.87,0.3,90.4502,150.02100000000002
132,2009-01-01,134055.0,7.8,0.15,211.933,2.52,1.6,0.13,91.0373,151.513
133,2008-12-01,134839.0,7.3,0.16,211.398,2.42,1.52,0.03,93.2521,153.623
134,2008-11-01,135545.0,6.8,0.39,213.153,3.53,2.29,0.19,96.0605,156.14700000000002
135,2008-10-01,136272.0,6.5,0.97,216.995,3.81,2.73,0.67,97.2832,158.333
136,2008-09-01,136753.0,6.1,1.81,218.877,3.69,2.88,1.13,96.3666,160.317
137,2008-08-01,137213.0,6.1,2.0,218.69,3.89,3.14,1.72,100.7353,161.999
138,2008-07-01,137491.0,5.8,2.01,219.016,4.01,3.3,1.63,102.3002,163.577
139,2008-06-01,137687.0,5.6,2.0,217.463,4.1,3.49,1.86,102.8445,165.025
140,2008-05-01,137858.0,5.4,1.98,215.208,3.88,3.15,1.73,103.0863,166.665
141,2008-04-01,138035.0,5.0,2.28,213.942,3.68,2.84,1.29,103.6704,168.343
142,2008-03-01,138275.0,5.1,2.61,213.448,3.51,2.48,1.26,104.4616,170.058
143,2008-02-01,138324.0,4.9,2.98,212.687,3.74,2.78,2.12,104.7094,171.545
144,2008-01-01,138403.0,5.0,3.94,212.174,3.74,2.98,2.75,105.0619,173.137
145,2007-12-01,138392.0,5.0,4.24,211.445,4.1,3.49,3.0,105.3457,174.347
146,2007-11-01,138284.0,4.7,4.49,210.834,4.15,3.67,3.27,105.3338,175.15400000000002
147,2007-10-01,138174.0,4.7,4.76,209.19,4.53,4.2,3.9,104.7171,176.63299999999998
148,2007-09-01,138095.0,4.7,4.94,208.547,4.52,4.2,3.89,105.1611,177.567
149,2007-08-01,138015.0,4.6,5.02,207.667,4.67,4.43,4.2,104.7556,178.12599999999998
150,2007-07-01,138038.0,4.7,5.26,207.603,5.0,4.88,4.82,104.5227,179.118
151,2007-06-01,138069.0,4.6,5.25,207.234,5.1,5.03,4.61,104.5617,180.26
152,2007-05-01,137993.0,4.4,5.25,206.755,4.75,4.67,4.73,104.5322,181.605
153,2007-04-01,137842.0,4.5,5.25,205.904,4.69,4.59,4.87,104.4814,183.014
154,2007-03-01,137793.0,4.4,5.26,205.288,4.56,4.48,4.94,103.7521,184.153
155,2007-02-01,137558.0,4.5,5.26,204.226,4.72,4.71,5.03,103.5264,184.601
156,2007-01-01,137477.0,4.6,5.25,203.437,4.76,4.75,4.98,102.4933,184.52
157,2006-12-01,137249.0,4.4,5.24,203.1,4.56,4.53,4.85,103.0292,184.143
158,2006-11-01,137063.0,4.5,5.25,202.0,4.6,4.58,4.94,101.9688,183.614
159,2006-10-01,136852.0,4.4,5.25,201.9,4.73,4.69,4.92,102.0668,183.205
160,2006-09-01,136843.0,4.5,5.25,202.8,4.72,4.67,4.81,102.1252,182.80599999999998
161,2006-08-01,136694.0,4.7,5.25,203.8,4.88,4.82,4.96,102.3327,182.602
162,2006-07-01,136520.0,4.7,5.24,202.9,5.09,5.04,4.95,101.9319,183.07299999999998
163,2006-06-01,136325.0,4.6,4.99,201.8,5.11,5.07,4.79,101.9693,183.511
164,2006-05-01,136244.0,4.6,4.94,201.3,5.11,5.0,4.72,101.579,184.158
165,2006-04-01,136205.0,4.7,4.79,200.7,4.99,4.9,4.6,101.6813,184.332
166,2006-03-01,136047.0,4.7,4.59,199.7,4.72,4.72,4.51,101.2751,184.37
167,2006-02-01,135737.0,4.8,4.49,199.4,4.57,4.57,4.43,101.0669,183.292
168,2006-01-01,135429.0,4.7,4.29,199.3,4.42,4.35,4.24,101.0627,182.325
169,2005-12-01,135149.0,4.9,4.16,198.1,4.47,4.39,3.89,100.9437,180.91400000000002
170,2005-11-01,134993.0,5.0,4.0,198.1,4.54,4.45,3.88,100.3216,179.685
171,2005-10-01,134655.0,5.0,3.78,199.1,4.46,4.33,3.71,99.3149,178.03
172,2005-09-01,134566.0,5.0,3.62,198.8,4.2,4.01,3.42,98.0779,176.43900000000002
173,2005-08-01,134498.0,4.9,3.5,196.1,4.26,4.12,3.44,99.9435,174.442
174,2005-07-01,134296.0,5.0,3.26,194.9,4.18,3.98,3.22,99.6692,172.86
175,2005-06-01,133942.0,5.0,3.04,193.7,4.0,3.77,2.97,99.9853,171.192
176,2005-05-01,133690.0,5.1,3.0,193.6,4.14,3.85,2.84,99.6033,169.354
177,2005-04-01,133518.0,5.2,2.79,193.7,4.34,4.0,2.78,99.4734,167.50599999999997
178,2005-03-01,133156.0,5.2,2.63,193.1,4.5,4.17,2.74,99.3061,165.81900000000002
179,2005-02-01,133032.0,5.4,2.5,192.4,4.17,3.77,2.54,99.4639,163.35
180,2005-01-01,132774.0,5.3,2.28,191.6,4.22,3.71,2.33,98.7845,161.293
181,2004-12-01,132624.0,5.4,2.16,191.7,4.23,3.6,2.19,98.3318,159.333
182,2004-11-01,132503.0,5.4,1.93,191.7,4.19,3.53,2.07,97.6137,157.529
183,2004-10-01,132447.0,5.5,1.76,190.8,4.1,3.35,1.76,97.4094,155.753
184,2004-09-01,132093.0,5.4,1.61,189.8,4.13,3.36,1.65,96.4907,154.18
185,2004-08-01,131937.0,5.4,1.43,189.2,4.28,3.47,1.48,96.4095,152.635
186,2004-07-01,131848.0,5.5,1.26,189.1,4.5,3.69,1.33,96.3385,151.338
187,2004-06-01,131793.0,5.6,1.03,188.9,4.73,3.93,1.27,95.6019,149.851
188,2004-05-01,131694.0,5.6,1.0,188.2,4.72,3.85,1.02,96.3966,148.186
189,2004-04-01,131411.0,5.6,1.0,187.4,4.35,3.39,0.94,95.6385,146.594
190,2004-03-01,131142.0,5.8,1.0,187.1,3.83,2.79,0.94,95.2088,145.063
191,2004-02-01,130825.0,5.6,1.01,186.7,4.08,3.07,0.93,95.6847,143.195
192,2004-01-01,130769.0,5.7,1.0,186.3,4.15,3.12,0.88,95.1085,141.65
193,2003-12-01,130588.0,5.7,0.98,185.5,4.27,3.27,0.9,94.8662,140.18200000000002
