,Date,Non-farm_Payrolls,Civilian_Unemployment_Rate,Effective_Fed_Funds,CPI_All_Items,10Y_Treasury_Rate,5Y_Treasury_Rate,3_Month_T-Bill_Rate,IPI,House_price_index
194,2003-11-01,130474.0,5.8,1.0,185.0,4.3,3.29,0.93,94.9338,138.797
195,2003-10-01,130454.0,6.0,1.01,184.9,4.29,3.19,0.92,94.2079,137.534
196,2003-09-01,130254.0,6.1,1.01,185.1,4.27,3.18,0.94,94.0751,136.296
197,2003-08-01,130149.0,6.1,1.03,184.5,4.45,3.37,0.95,93.5246,134.969
198,2003-07-01,130191.0,6.2,1.01,183.7,3.98,2.87,0.9,93.6582,133.77700000000002
199,2003-06-01,130194.0,6.3,1.22,183.1,3.33,2.27,0.92,93.2476,132.65
200,2003-05-01,130196.0,6.1,1.26,182.9,3.57,2.52,1.07,93.0918,131.737
201,2003-04-01,130177.0,6.0,1.26,183.2,3.96,2.93,1.13,93.0657,130.887
202,2003-03-01,130232.0,5.9,1.25,183.9,3.81,2.78,1.13,93.7358,130.151
203,2003-02-01,130444.0,5.9,1.26,183.6,3.9,2.9,1.17,93.9532,129.357
204,2003-01-01,130580.0,5.8,1.24,182.6,4.05,3.05,1.17,93.8198,128.46200000000002
205,2002-12-01,130472.0,6.0,1.24,181.8,4.03,3.03,1.19,93.1103,127.618
206,2002-11-01,130615.0,5.9,1.34,181.5,4.05,3.05,1.23,93.5693,126.667
207,2002-10-01,130628.0,5.7,1.75,181.2,3.94,2.95,1.58,93.0834,125.734
208,2002-09-01,130501.0,5.7,1.75,180.8,3.87,2.94,1.63,93.3654,124.779
209,2002-08-01,130587.0,5.7,1.74,180.5,4.26,3.29,1.62,93.2359,123.831
210,2002-07-01,130590.0,5.8,1.73,180.0,4.65,3.81,1.68,93.2237,122.889
211,2002-06-01,130684.0,5.8,1.75,179.6,4.93,4.19,1.7,93.4476,121.814
212,2002-05-01,130634.0,5.8,1.75,179.5,5.16,4.49,1.73,92.5668,120.727
213,2002-04-01,130623.0,5.9,1.75,179.3,5.21,4.65,1.71,92.1771,119.615
214,2002-03-01,130717.0,5.7,1.73,178.5,5.28,4.74,1.79,91.798,118.69
215,2002-02-01,130736.0,5.7,1.74,178.0,4.91,4.3,1.72,91.0553,117.84700000000001
216,2002-01-01,130852.0,5.7,1.73,177.7,5.04,4.34,1.65,91.0794,117.146
217,2001-12-01,130982.0,5.7,1.82,177.4,5.09,4.39,1.69,90.5073,116.45
218,2001-11-01,131142.0,5.5,2.09,177.5,4.65,3.97,1.87,90.486,115.85600000000001
219,2001-10-01,131454.0,5.3,2.49,177.6,4.57,3.91,2.16,90.9315,115.31
220,2001-09-01,131771.0,5.0,3.07,178.1,4.73,4.12,2.64,91.3289,114.81299999999999
221,2001-08-01,132028.0,4.9,3.65,177.4,4.97,4.57,3.36,91.6795,114.17
222,2001-07-01,132177.0,4.6,3.77,177.4,5.24,4.76,3.51,91.7933,113.494
223,2001-06-01,132299.0,4.5,3.97,177.7,5.28,4.81,3.49,92.3208,112.79700000000001
224,2001-05-01,132410.0,4.3,4.21,177.3,5.39,4.93,3.62,92.876,112.165
225,2001-04-01,132463.0,4.4,4.8,176.4,5.14,4.76,3.87,93.4469,111.65299999999999
226,2001-03-01,132747.0,4.3,5.31,176.1,4.89,4.64,4.42,93.7201,111.111
227,2001-02-01,132789.0,4.2,5.49,176.0,5.1,4.89,4.88,93.9398,110.50399999999999
228,2001-01-01,132698.0,4.2,5.98,175.6,5.16,4.86,5.15,94.5448,109.851
229,2000-12-01,132709.0,3.9,6.4,174.6,5.24,5.17,5.77,95.1573,109.135
230,2000-11-01,132556.0,3.9,6.51,174.2,5.72,5.7,6.17,95.4229,108.3
231,2000-10-01,132351.0,3.9,6.51,173.9,5.74,5.78,6.11,95.397,107.382
232,2000-09-01,132353.0,3.9,6.52,173.6,5.8,5.93,6.0,95.679,106.538
233,2000-08-01,132230.0,4.1,6.5,172.7,5.83,6.06,6.09,95.3112,105.76700000000001
234,2000-07-01,132236.0,4.0,6.54,172.7,6.05,6.18,5.96,95.5906,105.054
235,2000-06-01,132061.0,4.0,6.53,172.2,6.1,6.3,5.69,95.7353,104.42399999999999
236,2000-05-01,132105.0,4.0,6.27,171.2,6.44,6.69,5.79,95.6435,103.677
237,2000-04-01,131888.0,3.8,6.02,170.9,5.99,6.26,5.66,95.4808,102.92200000000001
238,2000-03-01,131596.0,4.0,5.85,171.0,6.26,6.5,5.69,94.798,102.12799999999999
239,2000-02-01,131124.0,4.1,5.73,170.0,6.52,6.68,5.55,94.4557,101.34100000000001
240,2000-01-01,131005.0,4.0,5.45,169.3,6.66,6.58,5.32,94.1758,100.555
241,1999-12-01,130772.0,4.0,5.3,168.8,6.28,6.19,5.2,94.1593,99.87200000000001
242,1999-11-01,130466.0,4.1,5.42,168.4,6.03,5.97,5.07,93.4371,99.185
243,1999-10-01,130177.0,4.1,5.2,168.1,6.11,6.03,4.86,92.9979,98.553
244,1999-09-01,129772.0,4.2,5.22,167.8,5.92,5.8,4.68,91.774,97.891
245,1999-08-01,129569.0,4.2,5.07,167.1,5.94,5.84,4.72,92.1629,97.24600000000001
246,1999-07-01,129414.0,4.3,4.99,166.7,5.79,5.68,4.55,91.7766,96.618
247,1999-06-01,129089.0,4.3,4.76,166.0,5.9,5.81,4.57,91.1994,96.00200000000001
248,1999-05-01,128808.0,4.2,4.74,166.0,5.54,5.44,4.5,91.352,95.37200000000001
249,1999-04-01,128597.0,4.3,4.74,165.9,5.18,5.08,4.29,90.7274,94.81299999999999
250,1999-03-01,128227.0,4.2,4.81,164.8,5.23,5.14,4.44,90.4819,94.244
251,1999-02-01,128120.0,4.4,4.76,164.7,5.0,4.91,4.44,90.3386,93.7
252,1999-01-01,127702.0,4.3,4.63,164.7,4.72,4.6,4.34,89.8594,93.235
253,1998-12-01,127596.0,4.4,4.68,164.4,4.65,4.45,4.39,89.4407,92.73299999999999
254,1998-11-01,127231.0,4.4,4.83,164.1,4.83,4.54,4.41,89.1098,92.22200000000001
255,1998-10-01,126954.0,4.5,5.07,163.9,4.53,4.18,3.96,89.1677,91.741
256,1998-09-01,126752.0,4.6,5.51,163.5,4.81,4.62,4.61,88.4515,91.28399999999999
257,1998-08-01,126544.0,4.5,5.55,163.4,5.34,5.27,4.9,88.6247,90.81200000000001
258,1998-07-01,126205.0,4.5,5.54,163.2,5.46,5.46,4.96,86.8423,90.336
259,1998-06-01,126076.0,4.5,5.56,162.8,5.5,5.52,4.98,87.145,89.87100000000001
260,1998-05-01,125844.0,4.4,5.49,162.6,5.65,5.63,5.0,87.6952,89.391
261,1998-04-01,125442.0,4.3,5.45,162.2,5.64,5.61,4.95,87.1411,88.90700000000001
262,1998-03-01,125164.0,4.7,5.49,162.0,5.65,5.61,5.03,86.8198,88.471
263,1998-02-01,125016.0,4.6,5.51,162.0,5.57,5.49,5.09,86.7612,88.036
264,1998-01-01,124812.0,4.6,5.56,162.0,5.54,5.42,5.04,86.6474,87.647
265,1997-12-01,124549.0,4.7,5.5,161.8,5.81,5.77,5.16,86.2047,87.118
266,1997-11-01,124235.0,4.6,5.52,161.7,5.88,5.8,5.14,85.9397,86.65799999999999
267,1997-10-01,123929.0,4.7,5.5,161.5,6.03,5.93,4.97,85.1918,86.17399999999999
268,1997-09-01,123585.0,4.9,5.54,161.2,6.21,6.11,4.95,84.4651,85.87799999999999
269,1997-08-01,123093.0,4.8,5.54,160.8,6.3,6.16,5.14,83.7214,85.601
270,1997-07-01,123111.0,4.9,5.52,160.4,6.22,6.12,5.05,82.8557,85.36
271,1997-06-01,122814.0,5.0,5.56,160.2,6.49,6.38,4.93,82.2285,85.109
272,1997-05-01,122546.0,4.9,5.5,159.9,6.71,6.57,5.05,81.8293,84.89
273,1997-04-01,122286.0,5.1,5.51,159.9,6.89,6.76,5.16,81.3531,84.649
274,1997-03-01,121990.0,5.2,5.39,159.8,6.69,6.54,5.14,81.334,84.47399999999999
275,1997-02-01,121675.0,5.2,5.19,159.7,6.42,6.2,5.01,80.793,84.204
276,1997-01-01,121363.0,5.3,5.25,159.4,6.58,6.33,5.03,79.8273,83.978
277,1996-12-01,121143.0,5.4,5.29,159.1,6.3,6.07,4.91,79.7143,83.744
278,1996-11-01,120961.0,5.4,5.31,158.7,6.2,5.97,5.03,79.1996,83.57600000000001
279,1996-10-01,120665.0,5.2,5.24,158.2,6.53,6.27,4.99,78.5065,83.40100000000001
280,1996-09-01,120410.0,5.2,5.3,157.7,6.83,6.6,5.09,78.5532,83.281
281,1996-08-01,120199.0,5.1,5.22,157.2,6.64,6.39,5.05,78.016,83.11200000000001
282,1996-07-01,120015.0,5.5,5.4,157.0,6.87,6.64,5.15,77.5662,82.95299999999999
283,1996-06-01,119769.0,5.3,5.27,156.7,6.91,6.69,5.09,77.6669,82.773
284,1996-05-01,119486.0,5.6,5.24,156.4,6.74,6.48,5.02,77.0161,82.62899999999999
285,1996-04-01,119158.0,5.6,5.22,156.1,6.51,6.3,4.95,76.4562,82.439
286,1996-03-01,118993.0,5.5,5.31,155.5,6.27,5.97,4.96,75.7631,82.214
287,1996-02-01,118739.0,5.5,5.22,155.0,5.81,5.38,4.83,75.8344,81.976
288,1996-01-01,118316.0,5.6,5.56,154.7,5.65,5.36,5.0,74.6841,81.85300000000001
289,1995-12-01,118320.0,5.6,5.6,153.9,5.71,5.51,5.14,75.1755,81.755
290,1995-11-01,118175.0,5.6,5.8,153.7,5.93,5.69,5.36,74.8897,81.63600000000001
291,1995-10-01,118031.0,5.5,5.76,153.5,6.04,5.86,5.28,74.7017,81.498
292,1995-09-01,117875.0,5.6,5.8,153.1,6.2,6.0,5.28,74.7937,81.322
293,1995-08-01,117634.0,5.7,5.74,152.9,6.49,6.24,5.4,74.495,81.124
294,1995-07-01,117380.0,5.7,5.85,152.6,6.28,6.01,5.42,73.5664,80.95100000000001
295,1995-06-01,117286.0,5.6,6.0,152.4,6.17,5.93,5.47,73.8602,80.8
296,1995-05-01,117049.0,5.6,6.01,152.1,6.63,6.41,5.67,73.6104,80.717
297,1995-04-01,117069.0,5.8,6.05,151.8,7.06,6.86,5.65,73.3612,80.675
298,1995-03-01,116907.0,5.4,5.98,151.2,7.2,7.05,5.73,73.4081,80.612
299,1995-02-01,116697.0,5.4,5.92,150.9,7.47,7.37,5.77,73.3025,80.543
300,1995-01-01,116501.0,5.6,5.53,150.5,7.78,7.76,5.71,73.4219,80.435
301,1994-12-01,116165.0,5.5,5.45,150.1,7.81,7.78,5.6,73.2879,80.304
302,1994-11-01,115869.0,5.6,5.29,149.8,7.96,7.72,5.29,72.5263,80.158
303,1994-10-01,115458.0,5.8,4.76,149.4,7.74,7.4,4.95,72.082,80.071
304,1994-09-01,115247.0,5.9,4.73,149.3,7.46,7.08,4.62,71.4767,79.925
305,1994-08-01,114896.0,6.0,4.47,149.0,7.24,6.88,4.48,71.2053,79.789
306,1994-07-01,114610.0,6.1,4.26,148.4,7.3,6.91,4.33,70.7846,79.604
307,1994-06-01,114238.0,6.1,4.25,147.9,7.1,6.7,4.14,70.6763,79.43
308,1994-05-01,113921.0,6.1,4.01,147.5,7.18,6.78,4.14,70.2281,79.22800000000001
309,1994-04-01,113586.0,6.4,3.56,147.2,6.97,6.52,3.68,69.8703,78.992
310,1994-03-01,113242.0,6.5,3.34,147.1,6.48,5.94,3.5,69.4766,78.859
311,1994-02-01,112781.0,6.6,3.25,146.7,5.97,5.4,3.25,68.7836,78.732
312,1994-01-01,112595.0,6.6,3.05,146.3,5.75,5.09,2.98,68.7648,78.595
313,1993-12-01,112314.0,6.5,2.96,146.3,5.77,5.15,3.06,68.5054,78.332
314,1993-11-01,111984.0,6.6,3.02,146.0,5.72,5.06,3.1,68.1326,78.16
315,1993-10-01,111733.0,6.8,2.99,145.6,5.33,4.71,3.02,67.8515,77.947
316,1993-09-01,111448.0,6.7,3.09,145.0,5.36,4.73,2.95,67.3345,77.795
317,1993-08-01,111206.0,6.8,3.03,144.8,5.68,5.03,3.02,67.014,77.612
318,1993-07-01,111055.0,6.9,3.06,144.5,5.81,5.09,3.04,67.0845,77.429
319,1993-06-01,110749.0,7.0,3.04,144.3,5.96,5.22,3.07,66.8781,77.241
320,1993-05-01,110568.0,7.1,3.0,144.2,6.04,5.2,2.96,66.7674,77.035
321,1993-04-01,110296.0,7.1,2.96,143.8,5.97,5.13,2.87,67.0,76.935
322,1993-03-01,109994.0,7.0,3.07,143.3,5.98,5.19,2.95,66.7658,76.868
323,1993-02-01,110044.0,7.1,3.03,143.1,6.26,5.43,2.93,66.8594,76.83800000000001
324,1993-01-01,109794.0,7.3,3.02,142.8,6.6,5.83,3.0,66.5643,76.78399999999999
325,1992-12-01,109495.0,7.4,2.92,142.3,6.77,6.08,3.22,66.2772,76.676
326,1992-11-01,109272.0,7.4,3.09,142.1,6.87,6.04,3.13,66.2174,76.568
327,1992-10-01,109139.0,7.3,3.1,141.7,6.59,5.6,2.86,65.9369,76.37899999999999
328,1992-09-01,108959.0,7.6,3.22,141.1,6.42,5.38,2.91,65.446,76.238
329,1992-08-01,108925.0,7.6,3.3,140.8,6.59,5.6,3.13,65.2943,76.23
330,1992-07-01,108793.0,7.7,3.25,140.5,6.84,5.84,3.21,65.6172,76.265
331,1992-06-01,108715.0,7.8,3.76,140.1,7.26,6.48,3.66,65.0295,76.329
332,1992-05-01,108649.0,7.6,3.82,139.7,7.39,6.69,3.63,65.0202,76.393
333,1992-04-01,108519.0,7.4,3.73,139.4,7.48,6.78,3.75,64.8088,76.34
334,1992-03-01,108365.0,7.4,3.98,139.1,7.54,6.95,4.04,64.3212,76.271
335,1992-02-01,108311.0,7.4,4.06,138.6,7.34,6.58,3.84,63.7911,76.149
336,1992-01-01,108369.0,7.3,4.03,138.3,7.03,6.24,3.8,63.3374,76.079
337,1991-12-01,108328.0,7.3,4.43,138.2,7.09,6.19,4.07,63.6937,76.043
338,1991-11-01,108296.0,7.0,4.81,137.8,7.42,6.62,4.56,63.948,76.02199999999999
339,1991-10-01,108357.0,7.0,5.21,137.2,7.53,6.87,4.99,64.0213,76.069
340,1991-09-01,108336.0,6.9,5.45,137.0,7.65,7.14,5.22,64.133,76.184
341,1991-08-01,108310.0,6.9,5.66,136.6,7.9,7.43,5.33,63.5671,76.09899999999999
342,1991-07-01,108292.0,6.8,5.82,136.2,8.27,7.91,5.58,63.5128,76.074
343,1991-06-01,108334.0,6.9,5.9,136.0,8.28,7.94,5.57,63.4372,75.988
344,1991-05-01,108249.0,6.9,5.78,135.6,8.07,7.7,5.46,62.8646,75.76
345,1991-04-01,108364.0,6.7,5.91,135.1,8.04,7.7,5.65,62.2415,75.559
346,1991-03-01,108574.0,6.8,6.12,134.8,8.11,7.77,5.91,62.119,75.57
347,1991-02-01,108734.0,6.6,6.25,134.8,7.85,7.47,5.94,62.4462,75.73100000000001
348,1991-01-01,109055.0,6.4,6.91,134.7,8.09,7.7,6.22,62.8852,75.908
349,1990-12-01,109166.0,6.3,7.31,134.2,8.08,7.73,6.74,63.1594,76.17699999999999
350,1990-11-01,109214.0,6.2,7.81,133.7,8.39,8.02,7.06,63.5753,76.37100000000001
351,1990-10-01,109367.0,5.9,8.11,133.4,8.72,8.33,7.17,64.3274,76.695
352,1990-09-01,109518.0,5.9,8.2,132.5,8.89,8.51,7.36,64.8145,76.842
353,1990-08-01,109616.0,5.7,8.13,131.6,8.75,8.44,7.45,64.7326,77.002
354,1990-07-01,109824.0,5.5,8.15,130.5,8.47,8.33,7.62,64.5205,77.13600000000001
355,1990-06-01,109856.0,5.2,8.29,129.9,8.48,8.43,7.73,64.6041,77.256
356,1990-05-01,109839.0,5.4,8.18,129.1,8.76,8.74,7.74,64.3973,77.297
357,1990-04-01,109686.0,5.4,8.26,128.9,8.79,8.77,7.77,64.2602,77.279
358,1990-03-01,109644.0,5.2,8.28,128.6,8.59,8.6,7.9,64.358,77.202
359,1990-02-01,109435.0,5.3,8.24,128.0,8.47,8.42,7.74,64.0446,77.05199999999999
360,1990-01-01,109199.0,5.4,8.23,127.5,8.21,8.12,7.64,63.4228,76.896
361,1989-12-01,108836.0,5.4,8.45,126.3,7.84,7.75,7.63,63.8467,76.706
362,1989-11-01,108752.0,5.4,8.55,125.9,7.87,7.81,7.69,63.4616,76.529
363,1989-10-01,108476.0,5.3,8.84,125.4,8.01,7.97,7.64,63.2542,76.289
364,1989-09-01,108369.0,5.3,9.02,124.8,8.19,8.17,7.75,63.2954,76.06
365,1989-08-01,108120.0,5.2,8.99,124.5,8.11,8.09,7.9,63.5168,75.84100000000001
366,1989-07-01,108069.0,5.2,9.24,124.5,8.02,7.83,7.88,62.9354,75.663
367,1989-06-01,108027.0,5.3,9.53,124.1,8.28,8.29,8.15,63.5187,75.483
368,1989-05-01,107913.0,5.2,9.81,123.7,8.86,8.91,8.43,63.4884,75.31
369,1989-04-01,107791.0,5.2,9.84,123.1,9.18,9.3,8.65,63.9124,75.09
370,1989-03-01,107621.0,5.0,9.85,122.2,9.36,9.51,8.82,63.8691,74.786
371,1989-02-01,107427.0,5.2,9.36,121.6,9.17,9.27,8.53,63.7242,74.388
372,1989-01-01,107161.0,5.4,9.12,121.2,9.09,9.15,8.27,64.0153,73.953
373,1988-12-01,106898.0,5.3,8.76,120.7,9.11,9.09,8.07,63.8233,73.473
374,1988-11-01,106617.0,5.3,8.35,120.3,8.96,8.79,7.76,63.5128,73.082
375,1988-10-01,106276.0,5.4,8.3,119.9,8.8,8.51,7.35,63.4122,72.645
376,1988-09-01,106013.0,5.4,8.19,119.5,8.98,8.69,7.24,63.099,72.248
377,1988-08-01,105674.0,5.6,8.01,119.0,9.26,8.94,7.06,63.2723,71.807
378,1988-07-01,105550.0,5.4,7.75,118.5,9.06,8.66,6.73,63.0093,71.362
379,1988-06-01,105326.0,5.4,7.51,118.0,8.92,8.49,6.46,62.9823,70.895
380,1988-05-01,104962.0,5.6,7.09,117.5,9.09,8.58,6.26,62.8223,70.434
381,1988-04-01,104732.0,5.4,6.87,117.2,8.72,8.19,5.91,62.8959,69.985
382,1988-03-01,104489.0,5.7,6.58,116.5,8.37,7.83,5.7,62.5418,69.656
383,1988-02-01,104214.0,5.7,6.58,116.2,8.21,7.71,5.66,62.4169,69.279
384,1988-01-01,103753.0,5.7,6.83,116.0,8.67,8.18,5.81,62.1469,68.876
385,1987-12-01,103661.0,5.7,6.77,115.6,8.99,8.45,5.77,62.119,68.523
386,1987-11-01,103372.0,5.8,6.69,115.4,8.86,8.35,5.69,61.8137,68.12100000000001
387,1987-10-01,103138.0,6.0,7.29,115.0,9.52,9.08,6.13,61.491,67.755
388,1987-09-01,102647.0,5.9,7.22,114.7,9.42,8.94,6.4,60.6069,67.343
389,1987-08-01,102420.0,6.0,6.73,114.3,8.76,8.32,6.04,60.4517,66.949
390,1987-07-01,102247.0,6.1,6.58,113.8,8.45,8.01,5.69,59.9536,66.52
391,1987-06-01,101900.0,6.2,6.73,113.5,8.4,8.02,5.67,59.5409,66.089
392,1987-05-01,101728.0,6.3,6.85,113.0,8.61,8.26,5.66,59.2653,65.584
393,1987-04-01,101499.0,6.3,6.37,112.7,8.02,7.57,5.64,58.8851,65.153
394,1987-03-01,101164.0,6.6,6.13,112.2,7.25,6.79,5.59,58.516,64.76100000000001
395,1987-02-01,100919.0,6.6,6.1,111.8,7.25,6.79,5.59,58.4399,64.447
396,1987-01-01,100678.0,6.6,6.43,111.4,7.08,6.64,5.43,57.685,63.988
